,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2015,22.2,IP.JRN.ARTC.SC,AFG,Afghanistan,South Asia,Low income,IDA
1,2016,81.64,IP.JRN.ARTC.SC,AFG,Afghanistan,South Asia,Low income,IDA
2,2017,91.89,IP.JRN.ARTC.SC,AFG,Afghanistan,South Asia,Low income,IDA
3,2018,111.72,IP.JRN.ARTC.SC,AFG,Afghanistan,South Asia,Low income,IDA
4,2015,177.8,IP.JRN.ARTC.SC,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
5,2016,185.87,IP.JRN.ARTC.SC,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
6,2017,149.54,IP.JRN.ARTC.SC,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
7,2018,180.36,IP.JRN.ARTC.SC,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
8,2015,4157.18,IP.JRN.ARTC.SC,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
9,2016,4527.57,IP.JRN.ARTC.SC,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
10,2017,5201.61,IP.JRN.ARTC.SC,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
11,2018,5231.44,IP.JRN.ARTC.SC,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
12,2015,8.08,IP.JRN.ARTC.SC,AND,Andorra,Europe & Central Asia,High income,Not classified
13,2016,7.99,IP.JRN.ARTC.SC,AND,Andorra,Europe & Central Asia,High income,Not classified
14,2017,2.01,IP.JRN.ARTC.SC,AND,Andorra,Europe & Central Asia,High income,Not classified
15,2018,3.6,IP.JRN.ARTC.SC,AND,Andorra,Europe & Central Asia,High income,Not classified
16,2015,31.59,IP.JRN.ARTC.SC,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
17,2016,39.97,IP.JRN.ARTC.SC,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
18,2017,55.5,IP.JRN.ARTC.SC,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
19,2018,30.12,IP.JRN.ARTC.SC,AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD
20,2015,3.3,IP.JRN.ARTC.SC,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
21,2016,7.64,IP.JRN.ARTC.SC,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
22,2017,5.2,IP.JRN.ARTC.SC,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
23,2018,5.63,IP.JRN.ARTC.SC,ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD
24,2015,8370.01,IP.JRN.ARTC.SC,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
25,2016,8593.36,IP.JRN.ARTC.SC,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
26,2017,8704.3,IP.JRN.ARTC.SC,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
27,2018,8811.13,IP.JRN.ARTC.SC,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
28,2015,531.24,IP.JRN.ARTC.SC,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
29,2016,530.82,IP.JRN.ARTC.SC,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
30,2017,511.24,IP.JRN.ARTC.SC,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
31,2018,521.33,IP.JRN.ARTC.SC,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
32,2015,52945.01,IP.JRN.ARTC.SC,AUS,Australia,East Asia & Pacific,High income,Not classified
33,2016,53781.62,IP.JRN.ARTC.SC,AUS,Australia,East Asia & Pacific,High income,Not classified
34,2017,53428.79,IP.JRN.ARTC.SC,AUS,Australia,East Asia & Pacific,High income,Not classified
35,2018,53610.22,IP.JRN.ARTC.SC,AUS,Australia,East Asia & Pacific,High income,Not classified
